URN,Caption,Rights
urn:cite:shotimg:atl.DSC_2953,Stele 2 overview bottom right,Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_2976,"Stele 2- right lateral face middle (stones 7, 6)",Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_2967,"Stele 2 obverse upper left (stones 1,2,3,5,8,6)",Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_2954,Stele 2 detail overview top right,Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_2956,Stele 2 overview left lateral face,Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_2966,"Stele 2 obverse upper left (stones 1,2,5)",Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_2911,"Stele 1 left lateral face (stones 59, 61)",Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_2916,"Stele 1 left lateral face (stones 173, 29, 172)",Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_5234,"Stele 1 obverse face (43,45,41)",Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_5253,"Stele 1 reverse face (154,155,156)",Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSCN8648,Stele inscribed on both sides with accounts of the treasurers of the sacred funds of Athena from the Acropolis (418/17-415/14 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8660,Stele inscribed on both sides with successive entries of the handing over of sacred ex-votos in the Parthenon by the treasurers of Athena to their successors (434/3-412/1 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8645,Stele inscribed on both sides with accounts of the treasurers of the sacred funds of Athena from the Acropolis (418/17-415/14 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8656,Stele inscribed on both sides with successive entries of the handing over of sacred ex-votos in the Parthenon by the treasurers of Athena to their successors (434/3-412/1 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8667,Stele with the text of a treaty between Athenians and Milesians (450/49 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8690,Stele with accounts of the public accountants (logistai) regarding the handling of the sacred money of Athena and of other gods by the treasurers (426/5-423/2 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8710,Part of a stele on which a decree of the Athenians was inscribed regulating the reassessment of the tribute to be paid by the allied cities (422/1 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.IMG_0813,Regulations for Miletus (450/49),Copyright Megan Whitacre; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8644,Stele inscribed on both sides with accounts of the treasurers of the sacred funds of Athena from the Acropolis (418/17-415/14 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8646,Stele inscribed on both sides with accounts of the treasurers of the sacred funds of Athena from the Acropolis (418/17-415/14 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8665,Part of a stele with an account of the treasurers of Athena concerning mostly war expenses for the expeditions to Macedonia and the Peloponnese (432/1 B.C),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8663,Part of a stele with an account of the treasurers of Athena concerning mostly war expenses for the expeditions to Macedonia and the Peloponnese (432/1 B.C),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8668,Stele with the text of a treaty between Athenians and Milesians (450/49 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8691,Stele with accounts of the public accountants (logistai) regarding the handling of the sacred money of Athena and of other gods by the treasurers (426/5-423/2 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8701,Decree of the Athenians regulating the reassessment and increase of the tribute paid by the allied cities (425/4 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.IMG_0814,Regulations for Miletus (450/49),Copyright Megan Whitacre; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8647,Stele inscribed on both sides with accounts of the treasurers of the sacred funds of Athena from the Acropolis (418/17-415/14 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
